Date,Beans,Nuwaraeliya Carrot,Cabbage,Tomato,Brinjal,Pumpkin - Big,Snake Gourd,Lime,Red Onion- Lanka,Red Onion Import,Potatoes - Nuwaraeliya,Potatoes - Import
5/3/2016,115,95,55,120,40,23,65,,78,90,95,
5/4/2016,125,90,50,115,38,25,60,,75,93,95,
5/5/2016,130,100,60,140,40,23,70,,105,93,95,
5/6/2016,120,95,65,130,45,27,75,,90,93,95,
5/7/2016,,,,,,,,,,,,
5/8/2016,,,,,,,,,,,,
5/9/2016,125,90,63,125,48,28,80,,90,93,95,
5/10/2016,110,80,70,140,50,28,75,,90,88,95,
5/11/2016,115,88,70,145,50,28,75,,90,88,95,
5/12/2016,120,95,80,140,55,25,78,,100,95,105,
5/13/2016,115,110,73,115,50,28,75,,95,95,105,
5/14/2016,,,,,,,,,,,,
5/15/2016,,,,,,,,,,,,
5/16/2016,140,113,80,135,50,25,78,,100,105,120,
5/17/2016,195,140,90,150,75,33,90,,115,,135,
5/18/2016,98,110,68,140,50,28,68,,95,,133,
5/19/2016,135,110,80,135,60,35,75,,110,,135,
5/20/2016,120,105,65,125,60,30,70,,110,105,133,
5/21/2016,,,,,,,,,,,,
5/22/2016,,,,,,,,,,,,
5/23/2016,,,,,,,,,,,,
5/24/2016,235,155,88,85,95,43,78,,120,105,125,
5/25/2016,225,165,85,90,105,38,80,,120,105,125,
5/26/2016,215,135,95,95,110,48,100,,135,,125,
5/27/2016,220,135,95,110,110,50,95,,155,140,125,
5/28/2016,,,,,,,,,,,,
5/29/2016,,,,,,,,,,,,
5/30/2016,180,175,105,110,125,55,115,,140,145,125,
5/31/2016,210,165,103,95,115,48,95,,120,125,125,
6/1/2016,175,160,95,95,115,45,105,,135,145,125,
6/2/2016,175,170,115,110,115,50,100,,125,125,125,
6/3/2016,155,135,125,110,95,45,90,,120,125,125,
6/4/2016,,,,,,,,,,,,
6/5/2016,,,,,,,,,,,,
6/6/2016,160,165,125,135,115,55,115,,135,125,125,
6/7/2016,170,190,125,140,135,55,95,,115,125,125,
6/8/2016,140,210,143,130,135,50,115,,120,120,125,
6/9/2016,125,200,155,130,125,55,125,,115,125,125,
6/10/2016,125,205,150,145,120,65,105,,125,125,125,
6/11/2016,,,,,,,,,,,,
6/12/2016,,,,,,,,,,,,
6/13/2016,115,230,135,150,130,83,110,,135,128,125,
6/14/2016,155,215,145,130,115,78,105,,135,135,125,
6/15/2016,130,220,120,130,105,75,110,,125,135,135,
6/16/2016,125,215,115,115,110,75,100,,120,125,133,
6/17/2016,135,220,115,125,90,75,90,,110,135,135,
6/18/2016,,,,,,,,,,,,
6/19/2016,,,,,,,,,,,,
6/20/2016,,,,,,,,,,,,
6/21/2016,145,240,130,125,65,80,90,,130,125,135,
6/22/2016,135,235,118,140,60,83,85,,125,135,133,
6/23/2016,90,230,110,120,55,93,75,,115,125,133,
6/24/2016,115,240,100,165,50,93,73,,135,125,145,
6/25/2016,,,,,,,,,,,,
6/26/2016,,,,,,,,,,,,
6/27/2016,115,205,85,190,50,105,85,,120,128,135,
6/28/2016,170,195,105,185,60,105,80,,125,125,145,
6/29/2016,180,195,110,180,55,100,85,,125,130,135,
6/30/2016,170,205,95,170,50,100,75,,125,125,133,
7/1/2016,140,190,90,180,38,110,65,,120,125,150,
7/2/2016,,,,,,,,,,,,
7/3/2016,,,,,,,,,,,,
7/4/2016,150,165,95,125,50,110,65,,90,123,135,
7/5/2016,165,150,105,200,40,125,50,,115,120,145,
7/6/2016,,,,,,,,,,,,
7/7/2016,130,165,108,160,50,120,50,,110,118,143,
7/8/2016,115,165,100,160,53,130,55,,108,125,150,
7/9/2016,,,,,,,,,,,,
7/10/2016,,,,,,,,,,,,
7/11/2016,140,175,125,165,50,130,55,,110,110,150,
7/12/2016,115,165,115,130,50,135,50,,95,118,145,
7/13/2016,110,160,105,140,40,130,45,,90,100,145,
7/14/2016,110,150,113,90,40,130,45,,85,90,155,
7/15/2016,100,155,115,85,40,140,55,,70,73,145,
7/16/2016,,,,,,,,,,,,
7/17/2016,,,,,,,,,,,,
7/18/2016,115,140,120,115,48,125,40,,75,78,155,
7/19/2016,,,,,,,,,,,,
7/20/2016,,,,,,,,,,,,
7/21/2016,125,135,115,83,50,115,43,,80,75,145,
7/22/2016,120,110,100,88,50,130,43,,78,73,130,
7/23/2016,,,,,,,,,,,,
7/24/2016,,,,,,,,,,,,
7/25/2016,160,115,115,85,55,70,40,,115,90,150,
7/26/2016,155,125,115,85,50,70,35,,115,80,150,
7/27/2016,160,100,95,65,55,78,40,,105,,155,
7/28/2016,125,110,85,55,53,65,35,,75,,145,
7/29/2016,145,110,95,55,50,68,35,,65,,155,
7/30/2016,,,,,,,,,,,,
7/31/2016,,,,,,,,,,,,
8/1/2016,130,120,80,40,45,45,30,,65,,135,
8/2/2016,145,110,80,50,55,58,28,,60,73,135,
8/3/2016,155,100,65,33,45,50,25,,60,73,138,
8/4/2016,150,90,80,30,60,60,25,,50,73,135,
8/5/2016,150,95,73,35,65,55,25,,60,,133,
8/6/2016,,,,,,,,,,,,
8/7/2016,,,,,,,,,,,,
8/8/2016,160,85,60,23,45,65,25,,58,63,135,
8/9/2016,140,90,65,20,50,60,25,,60,63,135,
8/10/2016,155,110,70,18,40,55,25,,55,63,125,
8/11/2016,140,60,55,23,58,53,25,,53,58,125,
8/12/2016,140,78,75,20,45,45,20,,50,55,135,
8/13/2016,,,,,,,,,,,,
8/14/2016,,,,,,,,,,,,
8/15/2016,130,90,80,25,40,45,20,,55,55,130,
8/16/2016,135,85,70,23,55,45,18,,55,55,135,
8/17/2016,,,,,,,,,,,,
8/18/2016,115,88,80,23,40,45,15,,55,55,135,
8/19/2016,120,88,83,20,50,38,23,,60,55,125,
8/20/2016,,,,,,,,,,,,
8/21/2016,,,,,,,,,,,,
